ID,Class
ISIC_0000000,nevus
ISIC_0000001,nevus
ISIC_0000003,nevus
ISIC_0000004,melanoma
ISIC_0000006,nevus
ISIC_0000007,nevus
ISIC_0000008,nevus
ISIC_0000009,nevus
ISIC_0000011,nevus
ISIC_0000012,nevus
ISIC_0000013,melanoma
ISIC_0000014,nevus
ISIC_0000015,nevus
ISIC_0000016,nevus
ISIC_0000017,nevus
ISIC_0000018,nevus
ISIC_0000019,nevus
ISIC_0000020,nevus
ISIC_0000021,nevus
ISIC_0000022,melanoma
ISIC_0000023,nevus
ISIC_0000024,nevus
ISIC_0000025,nevus
ISIC_0000026,melanoma
ISIC_0000027,nevus
ISIC_0000028,nevus
ISIC_0000029,melanoma
ISIC_0000030,melanoma
ISIC_0000031,melanoma
ISIC_0000032,nevus
ISIC_0000034,nevus
ISIC_0000035,melanoma
ISIC_0000036,melanoma
ISIC_0000037,nevus
ISIC_0000038,nevus
ISIC_0000039,nevus
ISIC_0000040,melanoma
ISIC_0000041,nevus
ISIC_0000042,nevus
ISIC_0000043,melanoma
ISIC_0000044,nevus
ISIC_0000045,nevus
ISIC_0000046,melanoma
ISIC_0000047,nevus
ISIC_0000048,nevus
ISIC_0000049,melanoma
ISIC_0000050,nevus
ISIC_0000051,nevus
ISIC_0000052,nevus
ISIC_0000053,nevus
ISIC_0000054,melanoma
ISIC_0000055,nevus
ISIC_0000056,melanoma
ISIC_0000057,nevus
ISIC_0000058,nevus
ISIC_0000059,nevus
ISIC_0000060,nevus
ISIC_0000061,nevus
ISIC_0000062,nevus
ISIC_0000063,nevus
ISIC_0000064,nevus
ISIC_0000065,nevus
ISIC_0000066,nevus
ISIC_0000067,nevus
ISIC_0000068,nevus
ISIC_0000069,nevus
ISIC_0000071,nevus
ISIC_0000072,nevus
ISIC_0000073,nevus
ISIC_0000074,melanoma
ISIC_0000075,nevus
ISIC_0000077,melanoma
ISIC_0000078,melanoma
ISIC_0000079,nevus
ISIC_0000080,nevus
ISIC_0000081,nevus
ISIC_0000082,nevus
ISIC_0000085,nevus
